,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451973374666846211,1451973374666846211,1635012403000.0,2021-10-24 03:06:43,+0900,,ミラドール細粒10%,ja,[],[],3071009942,3071009942,8no3ka,ّ,7,03,https://twitter.com/8no3ka/status/1451973374666846211,[],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
1,1,1451968666329772034,1451968666329772034,1635011280000.0,2021-10-24 02:48:00,+0900,,引越しの際埃塗れでこのCD出てきましたｗ  nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/fDqQTRPX7F @YouTubeより,ja,[],[],171352981,171352981,zeruhu,ゼルフ店長@基本的に貧乏で毎日生きるのに必死な放浪管理人はブログを始めた。,7,02,https://twitter.com/zeruhu/status/1451968666329772034,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
2,2,1451797847729262596,1451797847729262596,1634970554000.0,2021-10-23 15:29:14,+0900,,&gt;&gt;着て予定&lt;&lt;  店長が着てから予定がきまるってこと？ 着たら伸びちゃわない？ 店長1/12サイズ？？？  #はいはい細かい細かい,ja,['はいはい細かい細かい'],[],755006370806542336,755006370806542336,MILADOLL_decchi,ミラドール丁稚さん＠ドール衣装工房ミラドールﾄﾞﾙﾄﾞﾙﾄﾞﾙｯ,6,15,https://twitter.com/MILADOLL_decchi/status/1451797847729262596,[],[],0,,False,3,1,0,https://twitter.com/irosika_jp/status/1451783969771442177,ミラドール,,,,,,,[],,,,
3,6,1451344725659717638,1451344725659717638,1634862521000.0,2021-10-22 09:28:41,+0900,,"薬名:ドグマチール,アビリット,ミラドール(スルピリド) 薬価:15.3(6.3) 分類:ブチロフェノン系抗精神病薬 強さ:中 鎮静作用:なし 錐体外路症状:弱～中 肥満:中 適応 1.統合失調症 2.うつ病 3.胃,十二指腸潰瘍  https://t.co/k1OOws0GyZ",ja,[],[],3299940768,3299940768,medicinelistbot,お薬たん,5,09,https://twitter.com/medicinelistbot/status/1451344725659717638,[],['https://pbs.twimg.com/media/CLokXPLUwAA3AXj.jpg'],1,https://pbs.twimg.com/media/CLokXPLUwAA3AXj.jpg,False,0,0,0,,ミラドール,,,,,,,[],,,,
4,13,1450991056296628225,1450991056296628225,1634778200000.0,2021-10-21 10:03:20,+0900,,最高な公式ビデオがあるじゃないか！ nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/yOWfeqzDde @YouTubeより,ja,[],[],754759124622069760,754759124622069760,shiomichiesa,こがらしちえ,4,10,https://twitter.com/shiomichiesa/status/1450991056296628225,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
5,14,1450937724148404230,1450937724148404230,1634765485000.0,2021-10-21 06:31:25,+0900,,スルピリド。製品名、ドグマチール、アビリット、ミラドール。比較的軽い抑うつ症状に使われている。食欲不振や吐き気があるときにも向いている、まあ胃薬として処方されることも。副作用として多いのが女性は乳汁分泌、男性は胸の膨らみ。この副作用が気になる場合はすぐに主治医に相談しよう。,ja,[],[],990950616041013248,990950616041013248,psydrug_yagen,向精神薬に詳しい薬研藤四郎bot,4,06,https://twitter.com/psydrug_yagen/status/1450937724148404230,[],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
6,17,1450749369557270529,1450749369557270529,1634720577000.0,2021-10-20 18:02:57,+0900,,nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/XunEG5pGuZ @YouTubeより,ja,[],[],1363325903908970497,1363325903908970497,_OctaviaAmp,🧸くまべろす,3,18,https://twitter.com/_OctaviaAmp/status/1450749369557270529,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
7,22,1450662571179057158,1450662571179057158,1634699883000.0,2021-10-20 12:18:03,+0900,,抗うつ薬⑤  ＊SARI（セロトニン2 受容体拮抗・再取り込み阻害薬） ・トラゾドン塩酸塩（デジレル、レスリン）  ＊定型抗精神病薬 ・スルピリド（ドグマチール、アビリット、ミラドール）,ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,12,https://twitter.com/psychologicalb3/status/1450662571179057158,[],[],0,,False,1,0,0,,ミラドール,,,,,,,[],,,,
8,24,1450465310671245322,1450465310671245322,1634652853000.0,2021-10-19 23:14:13,+0900,,nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/E4SU6PT7qG @YouTubeより,ja,[],[],129200421,129200421,naka_hi,半丁中人(S),2,23,https://twitter.com/naka_hi/status/1450465310671245322,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
9,25,1450446478040653834,1450446478040653834,1634648363000.0,2021-10-19 21:59:23,+0900,,モード学園だかHALだかのCMソングになってた曲。メッセージ性が強くて好き nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/EVwlF5tVq7 @YouTubeより,ja,[],[],109990521,109990521,fearmelody,ヒロガタ,2,21,https://twitter.com/fearmelody/status/1450446478040653834,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
10,29,1450414236035805191,1450414236035805191,1634640675000.0,2021-10-19 19:51:15,+0900,,ミラドールさん(@MILADOLL_miharu)の貼る服おぱんつセットとランジェリーセット届きました😄 ランジェリーセットは各2セット入りのお得セット😃 Sサイズ胸部パーツに対応してるのホントありがたい🥰 明日貼ってみる予定😚 リンク教えてくださったスタッフの方(@MILADOLL_decchi)にも感謝🙏  https://t.co/8jIA3Iq4Tn,ja,[],[],784704663157288964,784704663157288964,ayanokisaragi68,如月彩乃,2,19,https://twitter.com/ayanokisaragi68/status/1450414236035805191,[],['https://pbs.twimg.com/media/FCDoBnLUcAYZiPN.jpg'],1,https://pbs.twimg.com/media/FCDoBnLUcAYZiPN.jpg,False,7,0,0,,ミラドール,,,,,,,[],,,,
11,36,1450381181854236674,1450381181854236674,1634632795000.0,2021-10-19 17:39:55,+0900,,ミラドールさんの カジュアルショーツアソートA 到着致しました😊  迅速な発送にて貼り付け方法まで カラーでお付けしていただきました  https://t.co/zK7ktUgeD4,ja,[],[],1492653314,1492653314,moukazaru0128,ノラプ,2,17,https://twitter.com/moukazaru0128/status/1450381181854236674,[],['https://pbs.twimg.com/media/FCDJ-8YVQAUdVhG.jpg'],1,https://pbs.twimg.com/media/FCDJ-8YVQAUdVhG.jpg,False,29,0,1,,ミラドール,,,,,,,[],,,,
12,37,1450317126607114242,1450317126607114242,1634617523000.0,2021-10-19 13:25:23,+0900,,nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/nfISzcxQd5 @YouTubeより,ja,[],[],929016931897634816,929016931897634816,MagicAridE0721,まじからい,2,13,https://twitter.com/MagicAridE0721/status/1450317126607114242,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
13,38,1450116990023000070,1450116990023000070,1634569806000.0,2021-10-19 00:10:06,+0900,,nobodyknows+懐かしいし、ココロオドルしか記憶になかったけど、エル・ミラドールとかススミダス→とか意外と知ってるやん,ja,[],[],1216366636166303745,1216366636166303745,wo_life_ow,於(お),2,00,https://twitter.com/wo_life_ow/status/1450116990023000070,[],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
14,42,1450058963119063049,1450058963119063049,1634555972000.0,2021-10-18 20:19:32,+0900,,nobodyknows+ 「エル・ミラドール～展望台の唄～」  https://t.co/QpzJYT9JK6 @YouTubeより ノーバディーノーズで一番好きな曲なんだけどYouTubeに上がってた！,ja,[],[],1135200478919217152,1135200478919217152,2buan_cos,2buan（つぶあん）,1,20,https://twitter.com/2buan_cos/status/1450058963119063049,['https://youtu.be/kH7Rb6p1NX0'],[],0,,False,0,0,0,,ミラドール,,,,,,,[],,,,
